Packdatum;Filialen;Bereich;;;;;
2018-10-09;75;DPS;;;;;
2018-10-10;106;DPS;;;;;
2018-10-11;80;DPS;;;;;
2018-10-12;144;DPS;;;;;
2018-10-13;1;DPS;;;;;
2018-10-15;104;DPS;;;;;
2018-10-16;114;DPS;;;;;
2018-10-17;115;DPS;;;;;
2018-10-18;123;DPS;;;;;
2018-10-19;143;DPS;;;;;
2018-10-22;104;DPS;;;;;
2018-10-23;119;DPS;;;;;
2018-10-24;108;DPS;;;;;
2018-10-25;104;DPS;;;;;
2018-10-26;118;DPS;;;;;
2018-10-27;87;DPS;;;;;
2018-10-29;171;DPS;;;;;
2018-10-30;130;DPS;;;;;
2018-11-01;122;DPS;;;;;
2018-11-02;182;DPS;;;;;
2018-11-03;85;DPS;;;;;
2018-11-04;3;DPS;;;;;
2018-11-05;131;DPS;;;;;
2018-11-06;115;DPS;;;;;
2018-11-07;103;DPS;;;;;
2018-11-08;121;DPS;;;;;
2018-11-09;102;DPS;;;;;
2018-11-12;109;DPS;;;;;
2018-11-13;116;DPS;;;;;
2018-11-14;77;DPS;;;;;
2018-11-15;125;DPS;;;;;
2018-11-16;54;DPS;;;;;
2018-11-19;83;DPS;;;;;
2018-11-20;75;DPS;;;;;
2018-11-21;74;DPS;;;;;
2018-11-22;78;DPS;;;;;
2018-11-23;63;DPS;;;;;
2018-11-25;17;DPS;;;;;
2018-11-26;104;DPS;;;;;
2018-11-27;116;DPS;;;;;
2018-11-28;113;DPS;;;;;
2018-11-29;131;DPS;;;;;
2018-11-30;172;DPS;;;;;
2018-12-01;90;DPS;;;;;
2018-12-02;6;DPS;;;;;
2018-12-03;136;DPS;;;;;
2018-12-04;119;DPS;;;;;
2018-12-05;105;DPS;;;;;
2018-12-06;124;DPS;;;;;
2018-12-07;123;DPS;;;;;
2018-12-08;44;DPS;;;;;
2018-12-10;86;DPS;;;;;
2018-12-11;82;DPS;;;;;
2018-12-12;96;DPS;;;;;
2018-12-13;88;DPS;;;;;
2018-12-14;88;DPS;;;;;
2018-12-15;46;DPS;;;;;
2018-12-17;91;DPS;;;;;
2018-12-18;47;DPS;;;;;
2018-12-19;44;DPS;;;;;
2018-12-20;123;DPS;;;;;
2018-12-21;131;DPS;;;;;
2018-12-22;87;DPS;;;;;
2018-12-24;4;DPS;;;;;
2018-12-27;102;DPS;;;;;
2018-12-28;78;DPS;;;;;
2018-12-29;2;DPS;;;;;
2019-01-01;41;DPS;;;;;
2019-01-02;86;DPS;;;;;
2019-01-03;89;DPS;;;;;
2019-01-04;92;DPS;;;;;
2019-01-05;1;DPS;;;;;
2019-01-07;93;DPS;;;;;
2019-01-08;82;DPS;;;;;
2019-01-09;73;DPS;;;;;
2019-01-10;90;DPS;;;;;
2019-01-11;66;DPS;;;;;
2019-01-14;83;DPS;;;;;
2019-01-15;81;DPS;;;;;
2019-01-16;80;DPS;;;;;
2019-01-17;83;DPS;;;;;
2019-01-18;108;DPS;;;;;
2019-01-19;2;DPS;;;;;
2019-01-21;104;DPS;;;;;
2019-01-22;110;DPS;;;;;
2019-01-23;103;DPS;;;;;
2019-01-24;51;DPS;;;;;
2019-01-25;61;DPS;;;;;
2019-01-26;2;DPS;;;;;
2019-01-28;83;DPS;;;;;
2019-01-29;83;DPS;;;;;
2019-01-30;82;DPS;;;;;
2019-01-31;58;DPS;;;;;
2019-02-01;60;DPS;;;;;
2019-02-04;135;DPS;;;;;
2019-02-05;109;DPS;;;;;
2019-02-06;94;DPS;;;;;
2019-02-07;49;DPS;;;;;
2019-02-08;109;DPS;;;;;
2019-02-11;87;DPS;;;;;
2019-02-12;53;DPS;;;;;
2019-02-13;51;DPS;;;;;
2019-02-14;75;DPS;;;;;
2019-02-15;108;DPS;;;;;
2019-02-16;1;DPS;;;;;
2019-02-18;81;DPS;;;;;
2019-02-19;66;DPS;;;;;
2019-02-20;89;DPS;;;;;
2019-02-21;43;DPS;;;;;
2019-02-22;61;DPS;;;;;
2019-02-23;1;DPS;;;;;
2019-02-25;80;DPS;;;;;
2019-02-26;72;DPS;;;;;
2019-02-27;53;DPS;;;;;
2019-02-28;54;DPS;;;;;
2019-03-01;68;DPS;;;;;
2019-03-02;1;DPS;;;;;
2019-03-04;98;DPS;;;;;
2019-03-05;128;DPS;;;;;
2019-03-06;161;DPS;;;;;
2019-03-07;72;DPS;;;;;
2019-03-08;105;DPS;;;;;
2019-03-11;135;DPS;;;;;
2019-03-12;109;DPS;;;;;
2019-03-13;85;DPS;;;;;
2019-03-14;84;DPS;;;;;
2019-03-15;110;DPS;;;;;
2019-03-18;85;DPS;;;;;
2019-03-19;76;DPS;;;;;
2019-03-20;90;DPS;;;;;
2019-03-21;102;DPS;;;;;
2019-03-22;106;DPS;;;;;
2019-03-23;3;DPS;;;;;
2019-03-25;82;DPS;;;;;
2019-03-26;134;DPS;;;;;
2019-03-27;126;DPS;;;;;
2019-03-28;137;DPS;;;;;
2019-03-29;104;DPS;;;;;
2019-03-30;34;DPS;;;;;
2019-04-01;148;DPS;;;;;
2019-04-02;135;DPS;;;;;
2019-04-03;139;DPS;;;;;
2019-04-04;105;DPS;;;;;
2019-04-05;143;DPS;;;;;
2019-04-06;11;DPS;;;;;
2019-04-08;147;DPS;;;;;
2019-04-09;110;DPS;;;;;
2019-04-10;82;DPS;;;;;
2019-04-11;77;DPS;;;;;
2019-04-12;104;DPS;;;;;
2019-04-15;131;DPS;;;;;
2019-04-16;134;DPS;;;;;
2019-04-17;139;DPS;;;;;
2019-04-18;93;DPS;;;;;
2019-04-20;2;DPS;;;;;
2019-04-22;11;DPS;;;;;
2019-04-23;98;DPS;;;;;
2019-04-24;84;DPS;;;;;
2019-04-25;82;DPS;;;;;
2019-04-26;102;DPS;;;;;
2019-04-29;93;DPS;;;;;
2019-04-30;118;DPS;;;;;
2019-05-01;1;DPS;;;;;
2019-05-02;96;DPS;;;;;
2019-05-03;62;DPS;;;;;
2019-05-04;6;DPS;;;;;
2019-05-06;106;DPS;;;;;
2019-05-07;101;DPS;;;;;
2019-05-08;85;DPS;;;;;
2019-05-09;51;DPS;;;;;
2019-05-10;108;DPS;;;;;
2019-05-13;80;DPS;;;;;
2019-05-14;83;DPS;;;;;
2019-05-15;84;DPS;;;;;
2019-05-16;82;DPS;;;;;
2019-05-17;94;DPS;;;;;
2019-05-18;5;DPS;;;;;
2019-05-19;21;DPS;;;;;
2019-05-20;87;DPS;;;;;
2019-05-21;78;DPS;;;;;
2019-05-22;112;DPS;;;;;
2019-05-23;92;DPS;;;;;
2019-05-24;65;DPS;;;;;
2019-05-25;1;DPS;;;;;
2019-05-27;87;DPS;;;;;
2019-05-28;86;DPS;;;;;
2019-05-29;76;DPS;;;;;
2019-05-31;113;DPS;;;;;
2019-06-01;30;DPS;;;;;
2019-06-03;83;DPS;;;;;
2019-06-04;118;DPS;;;;;
2019-06-05;135;DPS;;;;;
2019-06-06;142;DPS;;;;;
2019-06-07;155;DPS;;;;;
2019-06-08;69;DPS;;;;;
2019-06-11;165;DPS;;;;;
2019-06-12;148;DPS;;;;;
2019-06-13;117;DPS;;;;;
2019-06-14;112;DPS;;;;;
2019-06-15;15;DPS;;;;;
2019-06-17;170;DPS;;;;;
2019-06-18;115;DPS;;;;;
2019-06-19;151;DPS;;;;;
2019-06-20;110;DPS;;;;;
2019-06-21;102;DPS;;;;;
