Datum;VPE_Gesamt;Komm_VPE;Voll;Displays;Lager
2015-05-27;50448;48684;1764;0;DPS
2015-05-27;13143;11078;2065;0;MAN
2015-05-27;16141;15965;176;0;MPS
2015-05-28;66363;63603;2760;0;DPS
2015-05-28;16320;13358;2962;0;MAN
2015-05-28;20602;20430;172;0;MPS
2015-05-29;60318;58837;1481;0;DPS
2015-05-29;10954;10939;15;0;MAN
2015-05-29;15724;15720;4;0;MPS
2015-05-30;63616;62302;1314;0;DPS
2015-05-30;11424;11409;15;0;MAN
2015-05-30;19923;15842;4081;0;MPS
2015-06-01;67924;66229;1695;0;DPS
2015-06-01;11851;11832;19;0;MAN
2015-06-01;17912;17896;16;0;MPS
2015-06-02;66355;62988;3367;0;DPS
2015-06-02;11561;11548;13;0;MAN
2015-06-02;18395;18372;23;0;MPS
2015-06-03;53262;51609;1653;0;DPS
2015-06-03;12910;9538;3372;0;MAN
2015-06-03;14028;13830;198;0;MPS
2015-06-04;63134;61493;1641;0;DPS
2015-06-04;13058;12954;104;0;MAN
2015-06-04;18514;18403;110;1;MPS
2015-06-05;58227;56552;1675;0;DPS
2015-06-05;10991;10781;210;0;MAN
2015-06-05;14028;14024;3;1;MPS
2015-06-06;31546;30414;1132;0;DPS
2015-06-06;7967;5353;2614;0;MAN
2015-06-06;7145;7119;26;0;MPS
2015-06-08;71217;69413;1804;0;DPS
2015-06-08;16920;12944;3976;0;MAN
2015-06-08;18634;17337;1297;0;MPS
2015-06-09;49532;48272;1260;0;DPS
2015-06-09;15602;10452;5150;0;MAN
2015-06-09;14865;14537;324;4;MPS
2015-06-10;52496;50130;2366;0;DPS
2015-06-10;9548;8739;809;0;MAN
2015-06-10;17559;16375;1164;20;MPS
2015-06-11;65287;62939;2348;0;DPS
2015-06-11;12857;12805;52;0;MAN
2015-06-11;18693;18569;120;4;MPS
2015-06-12;52067;50740;1327;0;DPS
2015-06-12;10535;10504;31;0;MAN
2015-06-12;13810;13806;3;1;MPS
2015-06-15;80329;77982;2347;0;DPS
2015-06-15;15819;14486;1333;0;MAN
2015-06-15;16076;16064;7;5;MPS
2015-06-16;53893;52428;1465;0;DPS
2015-06-16;13078;9676;3402;0;MAN
2015-06-16;14715;14711;0;4;MPS
2015-06-17;52512;50796;1716;0;DPS
2015-06-17;13307;10006;3301;0;MAN
2015-06-17;13455;13292;159;4;MPS
2015-06-18;65421;63353;2068;0;DPS
2015-06-18;16736;13202;3534;0;MAN
2015-06-18;19507;17667;1837;3;MPS
2015-06-19;55966;53999;1967;0;DPS
2015-06-19;11191;10649;542;0;MAN
2015-06-19;15798;15696;101;1;MPS
2015-06-20;33896;33020;876;0;DPS
2015-06-20;6716;5669;1047;0;MAN
2015-06-20;8382;8378;4;0;MPS
2015-06-22;74781;72858;1923;0;DPS
2015-06-22;16172;12775;3397;0;MAN
2015-06-22;19562;19472;88;2;MPS
2015-06-23;50576;49023;1553;0;DPS
2015-06-23;11162;8217;2945;0;MAN
2015-06-23;14176;13822;352;2;MPS
2015-06-24;50697;48194;2503;0;DPS
2015-06-24;9246;9232;14;0;MAN
2015-06-24;15437;14088;1347;2;MPS
2015-06-25;67099;64948;2151;0;DPS
2015-06-25;12623;12571;52;0;MAN
2015-06-25;19724;19224;498;2;MPS
2015-06-26;53294;51897;1397;0;DPS
2015-06-26;11341;11312;29;0;MAN
2015-06-26;14338;14334;3;1;MPS
2015-06-27;31217;30324;893;0;DPS
2015-06-27;5799;5754;45;0;MAN
2015-06-27;8340;8333;7;0;MPS
2015-06-29;75664;73324;2340;0;DPS
2015-06-29;15616;12927;2689;0;MAN
2015-06-29;20249;20249;0;0;MPS
2015-06-30;55586;52441;3145;0;DPS
2015-06-30;12080;9611;2469;0;MAN
2015-06-30;18407;16998;1409;0;MPS
2015-07-01;57090;53864;3226;0;DPS
2015-07-01;11405;9869;1536;0;MAN
2015-07-01;15966;14767;1194;5;MPS
2015-07-02;73107;69123;3984;0;DPS
2015-07-02;14573;13994;579;0;MAN
2015-07-02;25712;20134;5578;0;MPS
2015-07-03;63546;62175;1371;0;DPS
2015-07-03;11819;11426;393;0;MAN
2015-07-03;16397;16129;268;0;MPS
2015-07-04;32019;30870;1149;0;DPS
2015-07-04;5903;5870;33;0;MAN
2015-07-04;8005;7956;49;0;MPS
2015-07-06;75871;74352;1519;0;DPS
2015-07-06;18305;14164;4141;0;MAN
2015-07-06;17716;17592;124;0;MPS
2015-07-07;57661;53533;4128;0;DPS
2015-07-07;11414;10376;1038;0;MAN
2015-07-07;16276;13280;2994;2;MPS
2015-07-08;57891;55740;2151;0;DPS
2015-07-08;9793;9780;13;0;MAN
2015-07-08;17244;13301;3942;1;MPS
2015-07-09;70046;68363;1683;0;DPS
2015-07-09;13539;13404;135;0;MAN
2015-07-09;18673;18672;1;0;MPS
2015-07-10;55135;53753;1382;0;DPS
2015-07-10;9741;9437;304;0;MAN
2015-07-10;14496;14357;139;0;MPS
2015-07-11;33388;32480;908;0;DPS
2015-07-11;5271;5270;1;0;MAN
2015-07-11;8791;8146;645;0;MPS
2015-07-13;81248;79058;2190;0;DPS
2015-07-13;16906;13078;3828;0;MAN
2015-07-13;18711;18707;0;4;MPS
2015-07-14;64678;62448;2230;0;DPS
2015-07-14;10620;10513;107;0;MAN
2015-07-14;15472;15471;1;0;MPS
2015-07-15;63557;60544;3013;0;DPS
2015-07-15;10292;10281;11;0;MAN
2015-07-15;14857;14518;339;0;MPS
2015-07-16;73669;72038;1631;0;DPS
2015-07-16;15234;14497;737;0;MAN
2015-07-16;18541;18539;2;0;MPS
2015-07-17;60652;59029;1623;0;DPS
2015-07-17;15034;15031;3;0;MPS
2015-07-18;27171;26352;819;0;DPS
2015-07-18;6540;6212;328;0;MAN
2015-07-18;6583;6519;64;0;MPS
2015-07-20;75720;73590;2130;0;DPS
2015-07-20;15196;13884;1312;0;MAN
2015-07-20;18156;18155;1;0;MPS
2015-07-21;54976;53613;1363;0;DPS
2015-07-21;12898;10186;2712;0;MAN
2015-07-21;13299;13269;29;1;MPS
2015-07-22;57030;54414;2616;0;DPS
2015-07-22;13701;9919;3782;0;MAN
2015-07-22;13109;12856;253;0;MPS
2015-07-23;67458;65824;1634;0;DPS
2015-07-23;16684;13745;2939;0;MAN
2015-07-23;18049;18048;1;0;MPS
2015-07-24;53618;52213;1405;0;DPS
2015-07-24;10089;9938;151;0;MAN
2015-07-24;13282;13279;3;0;MPS
2015-07-25;33144;31311;1833;0;DPS
2015-07-25;7530;5585;1945;0;MAN
2015-07-25;7490;7309;181;0;MPS
2015-07-27;74545;72893;1652;0;DPS
2015-07-27;13435;13423;12;0;MAN
2015-07-27;17036;17031;5;0;MPS
2015-07-28;51539;50092;1447;0;DPS
2015-07-28;10227;10152;75;0;MAN
2015-07-28;13116;13114;2;0;MPS
2015-07-29;48223;46306;1917;0;DPS
2015-07-29;12510;9356;3154;0;MAN
2015-07-29;11322;11198;124;0;MPS
2015-07-30;63962;62236;1726;0;DPS
2015-07-30;13296;13064;232;0;MAN
2015-07-30;17704;17702;2;0;MPS
2015-07-31;56213;54248;1965;0;DPS
2015-07-31;10559;10550;9;0;MAN
2015-07-31;13910;13910;0;0;MPS
2015-08-01;36976;34662;2314;0;DPS
2015-08-01;5604;5582;22;0;MAN
2015-08-01;8543;8095;448;0;MPS
2015-08-03;76544;74797;1747;0;DPS
2015-08-03;14269;13785;484;0;MAN
2015-08-03;17299;17298;0;1;MPS
2015-08-04;48795;47026;1769;0;DPS
2015-08-04;10768;10631;137;0;MAN
2015-08-04;12042;12042;0;0;MPS
2015-08-05;57046;54925;2121;0;DPS
2015-08-05;12331;10744;1587;0;MAN
2015-08-05;11991;11838;153;0;MPS
2015-08-06;68673;66505;2168;0;DPS
2015-08-06;16026;14680;1346;0;MAN
2015-08-06;18087;17694;393;0;MPS
2015-08-07;54541;52319;2222;0;DPS
2015-08-07;10570;10414;156;0;MAN
2015-08-07;12844;12840;4;0;MPS
2015-08-08;32094;30889;1205;0;DPS
2015-08-08;7469;6476;993;0;MAN
2015-08-08;8251;7075;1176;0;MPS
2015-08-10;70945;69189;1756;0;DPS
2015-08-10;14777;13713;1064;0;MAN
2015-08-10;16577;16556;21;0;MPS
2015-08-11;51209;49591;1618;0;DPS
2015-08-11;10474;8773;1701;0;MAN
2015-08-11;12791;12791;0;0;MPS
2015-08-12;52147;49685;2462;0;DPS
2015-08-12;9062;9047;15;0;MAN
2015-08-12;13244;11843;1401;0;MPS
2015-08-13;67767;64732;3035;0;DPS
2015-08-13;14377;12056;2321;0;MAN
2015-08-13;16829;16829;0;0;MPS
2015-08-14;51750;50414;1336;0;DPS
2015-08-14;11588;11504;84;0;MAN
2015-08-14;12792;12788;3;1;MPS
2015-08-15;32081;30595;1486;0;DPS
2015-08-15;7488;5528;1960;0;MAN
2015-08-15;7063;6965;98;0;MPS
2015-08-17;68483;66727;1756;0;DPS
2015-08-17;13277;10762;2515;0;MAN
2015-08-17;16299;16295;2;2;MPS
2015-08-18;50688;49208;1480;0;DPS
2015-08-18;12417;9800;2617;0;MAN
2015-08-18;12845;12845;0;0;MPS
2015-08-19;49338;47285;2053;0;DPS
2015-08-19;12063;9586;2477;0;MAN
